  74,0,1,1,1,1
 123,1,0,0,0,0
 195,1,0,0,0,0
 205,1,0,0,0,0
 236,1,0,0,0,0
 658,0,1,1,1,1
 666,0,1,1,1,1
 875,0,1,1,1,1
 883,0,1,1,1,1
 933,0,1,1,1,1
 967,0,1,1,1,1
1303,1,0,0,0,0
1400,1,0,0,0,0
1450,0,1,1,1,1
2174,1,0,0,0,0
2401,0,1,1,1,1
2749,1,0,0,0,0
2988,1,0,0,0,0
2992,1,0,0,0,0
3189,1,0,0,0,0
3319,1,0,0,0,0
3325,1,0,0,0,0
3336,1,0,0,0,0
3426,1,0,0,0,0
3473,0,1,1,1,1
3524,0,1,1,1,1
3553,1,0,0,0,0
3691,0,1,1,1,1
3767,1,0,0,0,0
3861,1,0,0,0,0
  74,0,1,1,1,1
 123,1,0,0,0,0
 195,1,0,0,0,0
 205,1,0,0,0,0
 236,1,0,0,0,0
 658,0,1,1,1,1
 666,0,1,1,1,1
 875,0,1,1,1,1
 883,0,1,1,1,1
 933,0,1,1,1,1
 967,0,1,1,1,1
1303,1,0,0,0,0
1400,1,0,0,0,0
1450,0,1,1,1,1
2174,1,0,0,0,0
2401,0,1,1,1,1
2749,1,0,0,0,0
2988,1,0,0,0,0
2992,1,0,0,0,0
3189,1,0,0,0,0
3319,1,0,0,0,0
3325,1,0,0,0,0
3336,1,0,0,0,0
3426,1,0,0,0,0
3473,0,1,1,1,1
3524,0,1,1,1,1
3553,1,0,0,0,0
3691,0,1,1,1,1
3767,1,0,0,0,0
3861,1,0,0,0,0
